"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM110A",0,-2.12515205113801,0.184,0.592,0,"Monocyte_CD14highCD16low","FAM110A"
"CD300A",0,-1.42418222577107,0.26,0.657,0,"Monocyte_CD14highCD16low","CD300A"
"RRAS",0,-2.26928593325166,0.145,0.539,0,"Monocyte_CD14highCD16low","RRAS"
"DRAP1",0,-1.6960554835632,0.46,0.854,0,"Monocyte_CD14highCD16low","DRAP1"
"UNC119",0,-1.87245038887666,0.196,0.589,0,"Monocyte_CD14highCD16low","UNC119"
"MAFB",0,-1.30837039383226,0.43,0.821,0,"Monocyte_CD14highCD16low","MAFB"
"CHCHD10",0,-1.3085381667662,0.382,0.77,0,"Monocyte_CD14highCD16low","CHCHD10"
"LILRB1",0,-1.50411563842783,0.268,0.655,0,"Monocyte_CD14highCD16low","LILRB1"
"WARS",0,-1.42294043431545,0.462,0.849,0,"Monocyte_CD14highCD16low","WARS"
"LRRC25",0,-1.45880250383217,0.448,0.832,0,"Monocyte_CD14highCD16low","LRRC25"
"LILRB2",0,-1.32229585538141,0.465,0.845,0,"Monocyte_CD14highCD16low","LILRB2"
"RHOB",0,-1.24520313420239,0.371,0.749,0,"Monocyte_CD14highCD16low","RHOB"
"INSIG1",0,-2.33656251074824,0.105,0.483,0,"Monocyte_CD14highCD16low","INSIG1"
"CKB",0,-5.19471082008196,0.017,0.395,0,"Monocyte_CD14highCD16low","CKB"
"MAPKAPK3",0,-1.3960235448819,0.31,0.688,0,"Monocyte_CD14highCD16low","MAPKAPK3"
"ADA",0,-3.46941372756869,0.037,0.414,0,"Monocyte_CD14highCD16low","ADA"
"CD14",0,1.93852399352254,0.763,0.388,0,"Monocyte_CD14highCD16low","CD14"
"CSF3R",0,2.55597686087186,0.748,0.376,0,"Monocyte_CD14highCD16low","CSF3R"
"IFITM3",0,-2.08488404459763,0.561,0.931,0,"Monocyte_CD14highCD16low","IFITM3"
"TUBA1B",0,-1.62062607657359,0.498,0.863,0,"Monocyte_CD14highCD16low","TUBA1B"
"CXCL16",0,-1.57420459473477,0.189,0.546,0,"Monocyte_CD14highCD16low","CXCL16"
"BID",0,-1.19970533831435,0.463,0.82,0,"Monocyte_CD14highCD16low","BID"
"MARCKSL1",0,-1.9902165988783,0.132,0.486,0,"Monocyte_CD14highCD16low","MARCKSL1"
"ZNF703",0,-2.67159604832457,0.064,0.418,0,"Monocyte_CD14highCD16low","ZNF703"
"IER5",0,-0.960326997592383,0.391,0.74,0,"Monocyte_CD14highCD16low","IER5"
"BATF3",0,-3.202722315807,0.043,0.391,0,"Monocyte_CD14highCD16low","BATF3"
"OAS1",0,-1.32655500960536,0.278,0.626,0,"Monocyte_CD14highCD16low","OAS1"
"SEPT9",0,-1.51730350552259,0.245,0.593,0,"Monocyte_CD14highCD16low","SEPT9"
"SOD1",0,-1.23157160673322,0.368,0.716,0,"Monocyte_CD14highCD16low","SOD1"
"CTSC",0,-1.42527025582674,0.481,0.827,0,"Monocyte_CD14highCD16low","CTSC"
"CREB5",0,2.82987704412512,0.511,0.166,0,"Monocyte_CD14highCD16low","CREB5"
"SYNGR2",0,-1.07416107744984,0.334,0.675,0,"Monocyte_CD14highCD16low","SYNGR2"
"HLA-DQA1",0,-1.10401290212777,0.234,0.575,0,"Monocyte_CD14highCD16low","HLA-DQA1"
"SLC2A6",0,-1.89786099267458,0.143,0.483,0,"Monocyte_CD14highCD16low","SLC2A6"
"C20orf27",0,-1.10328627911245,0.364,0.704,0,"Monocyte_CD14highCD16low","C20orf27"
"TMC6",0,-1.55622239423015,0.15,0.488,0,"Monocyte_CD14highCD16low","TMC6"
"NAAA",0,-1.03221633654596,0.399,0.735,0,"Monocyte_CD14highCD16low","NAAA"
"NR4A1",0,-2.07170951518798,0.099,0.435,0,"Monocyte_CD14highCD16low","NR4A1"
"MT2A",0,-1.36008438537862,0.48,0.816,0,"Monocyte_CD14highCD16low","MT2A"
"VAMP5",0,-1.12204745222466,0.431,0.765,0,"Monocyte_CD14highCD16low","VAMP5"
"PCGF5",0,-0.9422001835328,0.276,0.61,0,"Monocyte_CD14highCD16low","PCGF5"
"SNRPB",0,-0.884935820083153,0.408,0.74,0,"Monocyte_CD14highCD16low","SNRPB"
"NEURL1",0,-4.10742595287515,0.02,0.352,0,"Monocyte_CD14highCD16low","NEURL1"
"ZNF706",0,-0.907877373176614,0.443,0.773,0,"Monocyte_CD14highCD16low","ZNF706"
"UCP2",0,-1.00867030715369,0.468,0.797,0,"Monocyte_CD14highCD16low","UCP2"
"PTPN6",0,-1.14651768182,0.491,0.82,0,"Monocyte_CD14highCD16low","PTPN6"
"PSME2",0,-1.19307656049306,0.54,0.869,0,"Monocyte_CD14highCD16low","PSME2"
"SCIMP",0,-0.925426067996644,0.369,0.698,0,"Monocyte_CD14highCD16low","SCIMP"
"MS4A6A",0,1.55295087393459,0.803,0.475,0,"Monocyte_CD14highCD16low","MS4A6A"
"TUBB",0,-1.04452357151729,0.339,0.667,0,"Monocyte_CD14highCD16low","TUBB"
"RNASE6",0,2.13756350817286,0.516,0.188,0,"Monocyte_CD14highCD16low","RNASE6"
"MGST1",0,3.16590152594218,0.426,0.098,0,"Monocyte_CD14highCD16low","MGST1"
"JPT1",0,-0.87384048177743,0.398,0.726,0,"Monocyte_CD14highCD16low","JPT1"
"CD36",0,2.1633005738666,0.68,0.354,0,"Monocyte_CD14highCD16low","CD36"
"HSPA8",0,-1.17776740423842,0.556,0.882,0,"Monocyte_CD14highCD16low","HSPA8"
"CSK",0,-0.877333711464204,0.466,0.79,0,"Monocyte_CD14highCD16low","CSK"
"PLAC8",0,-1.32023577014027,0.446,0.769,0,"Monocyte_CD14highCD16low","PLAC8"
"RGS19",0,-1.0307834385049,0.472,0.794,0,"Monocyte_CD14highCD16low","RGS19"
"ISG15",0,-0.687963602639251,0.375,0.697,0,"Monocyte_CD14highCD16low","ISG15"
"TBCB",0,-1.05236981611306,0.289,0.61,0,"Monocyte_CD14highCD16low","TBCB"
"SELL",0,2.39973758398399,0.59,0.269,0,"Monocyte_CD14highCD16low","SELL"
"ADGRE1",0,-1.83937513408168,0.124,0.444,0,"Monocyte_CD14highCD16low","ADGRE1"
"PARP8",0,2.60968525747639,0.522,0.203,0,"Monocyte_CD14highCD16low","PARP8"
"HSPB1",0,-2.2580902962783,0.097,0.416,0,"Monocyte_CD14highCD16low","HSPB1"
"KLF3",0,-0.949435503437647,0.343,0.661,0,"Monocyte_CD14highCD16low","KLF3"
"MYO1G",0,-0.979829771387296,0.407,0.724,0,"Monocyte_CD14highCD16low","MYO1G"
"LGALS9",0,-0.860816250411628,0.447,0.761,0,"Monocyte_CD14highCD16low","LGALS9"
"SYTL1",0,-1.72504073207563,0.122,0.435,0,"Monocyte_CD14highCD16low","SYTL1"
"EMB",0,2.75846209562269,0.438,0.126,0,"Monocyte_CD14highCD16low","EMB"
"RNH1",0,-0.921414659301517,0.512,0.821,0,"Monocyte_CD14highCD16low","RNH1"
"PPDPF",0,-1.11260372824418,0.393,0.702,0,"Monocyte_CD14highCD16low","PPDPF"
"AP2A1",0,-1.09778463116315,0.244,0.552,0,"Monocyte_CD14highCD16low","AP2A1"
"ID2",0,-0.648028719321619,0.446,0.754,0,"Monocyte_CD14highCD16low","ID2"
"CORO1B",0,-1.17774552208926,0.24,0.547,0,"Monocyte_CD14highCD16low","CORO1B"
"CLEC4E",0,3.08487664485152,0.384,0.079,0,"Monocyte_CD14highCD16low","CLEC4E"
"CDH23",0,-1.43534993145009,0.168,0.473,0,"Monocyte_CD14highCD16low","CDH23"
"PSMB9",0,-0.921351589124224,0.569,0.873,0,"Monocyte_CD14highCD16low","PSMB9"
"RAB24",0,-1.25183260134164,0.187,0.491,0,"Monocyte_CD14highCD16low","RAB24"
"DOK2",0,-0.912658477623076,0.446,0.75,0,"Monocyte_CD14highCD16low","DOK2"
"TIMP1",0,-1.4254264338333,0.582,0.885,0,"Monocyte_CD14highCD16low","TIMP1"
"SLC2A3",0,3.30175033583023,0.407,0.104,0,"Monocyte_CD14highCD16low","SLC2A3"
"PMVK",0,-1.55881210810483,0.136,0.438,0,"Monocyte_CD14highCD16low","PMVK"
"CYCS",0,-0.811868589033956,0.339,0.641,0,"Monocyte_CD14highCD16low","CYCS"
"PLCB1",0,3.12423266208346,0.418,0.116,0,"Monocyte_CD14highCD16low","PLCB1"
"CD47",0,-0.810177918208249,0.377,0.678,0,"Monocyte_CD14highCD16low","CD47"
"ITGAL",0,-0.944801647880259,0.374,0.675,0,"Monocyte_CD14highCD16low","ITGAL"
"PILRA",0,-0.960843695679045,0.509,0.809,0,"Monocyte_CD14highCD16low","PILRA"
"TNFRSF14",0,-0.766557710097343,0.336,0.636,0,"Monocyte_CD14highCD16low","TNFRSF14"
"TESC",0,-1.29278684077696,0.265,0.565,0,"Monocyte_CD14highCD16low","TESC"
"SECTM1",0,-1.07107251001987,0.247,0.546,0,"Monocyte_CD14highCD16low","SECTM1"
"TBC1D10C",0,-1.20018719279725,0.155,0.452,0,"Monocyte_CD14highCD16low","TBC1D10C"
"CIRBP",0,-0.834155045493044,0.528,0.825,0,"Monocyte_CD14highCD16low","CIRBP"
"RASGRP2",0,-0.86840928911232,0.27,0.566,0,"Monocyte_CD14highCD16low","RASGRP2"
"TCIRG1",0,-0.749112929051502,0.403,0.699,0,"Monocyte_CD14highCD16low","TCIRG1"
"CYTIP",0,-0.755992753342149,0.416,0.711,0,"Monocyte_CD14highCD16low","CYTIP"
"ATP1B3",0,-0.708436282034467,0.453,0.748,0,"Monocyte_CD14highCD16low","ATP1B3"
"CCDC12",0,-0.8286236231558,0.311,0.605,0,"Monocyte_CD14highCD16low","CCDC12"
"PKN1",0,-0.829399667730608,0.337,0.631,0,"Monocyte_CD14highCD16low","PKN1"
"NCF1",0,1.5312510605552,0.715,0.423,0,"Monocyte_CD14highCD16low","NCF1"
"PSMB8",0,-0.735849944648548,0.501,0.792,0,"Monocyte_CD14highCD16low","PSMB8"
"GCH1",0,-0.945994142818521,0.276,0.567,0,"Monocyte_CD14highCD16low","GCH1"
"C9orf78",0,-0.807200977283649,0.322,0.612,0,"Monocyte_CD14highCD16low","C9orf78"
"TMEM134",0,-1.58426072600967,0.117,0.407,0,"Monocyte_CD14highCD16low","TMEM134"
"CLEC2B",0,-0.590069691725384,0.431,0.721,0,"Monocyte_CD14highCD16low","CLEC2B"
"ABRACL",0,-0.845120938427554,0.493,0.782,0,"Monocyte_CD14highCD16low","ABRACL"
"KLF2",0,-0.84324557934123,0.578,0.867,0,"Monocyte_CD14highCD16low","KLF2"
"HLA-DPA1",0,-1.39663964943755,0.659,0.946,0,"Monocyte_CD14highCD16low","HLA-DPA1"
"LILRA1",0,-0.982729865422827,0.261,0.547,0,"Monocyte_CD14highCD16low","LILRA1"
"NAIP",0,2.28535735917367,0.486,0.2,0,"Monocyte_CD14highCD16low","NAIP"
"POLD4",0,-0.912862654032607,0.352,0.637,0,"Monocyte_CD14highCD16low","POLD4"
"PAG1",0,-1.33823641938132,0.305,0.59,0,"Monocyte_CD14highCD16low","PAG1"
"NDUFA12",0,-0.614643346210599,0.384,0.668,0,"Monocyte_CD14highCD16low","NDUFA12"
"RAB8A",0,-0.69544207367919,0.375,0.659,0,"Monocyte_CD14highCD16low","RAB8A"
"HLA-DPB1",0,-1.08690375010357,0.639,0.922,0,"Monocyte_CD14highCD16low","HLA-DPB1"
"BANF1",0,-0.721721792102857,0.351,0.634,0,"Monocyte_CD14highCD16low","BANF1"
"HLA-F",0,-0.681224496401818,0.45,0.733,0,"Monocyte_CD14highCD16low","HLA-F"
"NDUFA6",0,-0.863316552717186,0.286,0.569,0,"Monocyte_CD14highCD16low","NDUFA6"
"C1QA",0,-5.21803992060727,0.018,0.299,0,"Monocyte_CD14highCD16low","C1QA"
"MYD88",0,-0.761363706339717,0.322,0.603,0,"Monocyte_CD14highCD16low","MYD88"
"ZBTB7A",0,-0.844127535889593,0.361,0.641,0,"Monocyte_CD14highCD16low","ZBTB7A"
"SRI",0,-0.699072376188296,0.343,0.623,0,"Monocyte_CD14highCD16low","SRI"
"GBP4",0,-1.27179810055298,0.162,0.441,0,"Monocyte_CD14highCD16low","GBP4"
"ACAA1",0,-0.889680144087944,0.284,0.563,0,"Monocyte_CD14highCD16low","ACAA1"
"MS4A4A",0,-2.29594814056509,0.069,0.348,0,"Monocyte_CD14highCD16low","MS4A4A"
"DEDD2",0,-1.13211852621699,0.184,0.462,0,"Monocyte_CD14highCD16low","DEDD2"
"CALR",0,-0.851034540412478,0.389,0.666,0,"Monocyte_CD14highCD16low","CALR"
"UBE2L6",0,-0.72085047690631,0.364,0.64,0,"Monocyte_CD14highCD16low","UBE2L6"
"FAM32A",0,-0.892021867038444,0.248,0.524,0,"Monocyte_CD14highCD16low","FAM32A"
"CD99",0,1.79666446473626,0.589,0.313,0,"Monocyte_CD14highCD16low","CD99"
"CD163",0,2.79464368665304,0.355,0.079,0,"Monocyte_CD14highCD16low","CD163"
"PSMA4",0,-0.692243609365152,0.544,0.82,0,"Monocyte_CD14highCD16low","PSMA4"
"RUNX3",0,-1.25258556483739,0.125,0.4,0,"Monocyte_CD14highCD16low","RUNX3"
"NOP53",0,-0.780967213240479,0.571,0.846,0,"Monocyte_CD14highCD16low","NOP53"
"MPC1",0,-0.761010236712531,0.294,0.569,0,"Monocyte_CD14highCD16low","MPC1"
"HOTAIRM1",0,-0.888205031483294,0.248,0.522,0,"Monocyte_CD14highCD16low","HOTAIRM1"
"PABPC4",0,-0.766278353081896,0.341,0.615,0,"Monocyte_CD14highCD16low","PABPC4"
"SIDT2",0,-1.66265865320408,0.134,0.408,0,"Monocyte_CD14highCD16low","SIDT2"
"HSPE1",0,-0.798069213200325,0.283,0.556,0,"Monocyte_CD14highCD16low","HSPE1"
"CDK2AP2",0,-1.08827515678705,0.192,0.465,0,"Monocyte_CD14highCD16low","CDK2AP2"
"RHOF",0,-1.62192248372465,0.1,0.373,0,"Monocyte_CD14highCD16low","RHOF"
"OAZ2",0,-0.744971913472096,0.344,0.617,0,"Monocyte_CD14highCD16low","OAZ2"
"SLC44A2",0,-0.996693621846234,0.142,0.415,0,"Monocyte_CD14highCD16low","SLC44A2"
"GSTK1",0,-0.749390867460098,0.529,0.801,0,"Monocyte_CD14highCD16low","GSTK1"
"PTGES3",0,-0.853755572494691,0.557,0.829,0,"Monocyte_CD14highCD16low","PTGES3"
"WDR1",0,-0.627251038395199,0.417,0.688,0,"Monocyte_CD14highCD16low","WDR1"
"SNHG8",0,-0.701618337287039,0.322,0.593,0,"Monocyte_CD14highCD16low","SNHG8"
"RARA",0,-0.745068685755808,0.289,0.559,0,"Monocyte_CD14highCD16low","RARA"
"CKS1B",0,-2.61425079326748,0.039,0.309,0,"Monocyte_CD14highCD16low","CKS1B"
"PSMD8",0,-0.659583613115372,0.371,0.641,0,"Monocyte_CD14highCD16low","PSMD8"
"POU2F2",0,-0.774708848403834,0.585,0.855,0,"Monocyte_CD14highCD16low","POU2F2"
"APOBEC3G",0,-1.29534114201437,0.133,0.403,0,"Monocyte_CD14highCD16low","APOBEC3G"
"SIVA1",0,-0.624828521484844,0.325,0.595,0,"Monocyte_CD14highCD16low","SIVA1"
"SSNA1",0,-0.779750578532878,0.288,0.557,0,"Monocyte_CD14highCD16low","SSNA1"
"ATG3",0,-0.642920054975541,0.519,0.788,0,"Monocyte_CD14highCD16low","ATG3"
"SH3BP2",0,-0.715704761869671,0.381,0.65,0,"Monocyte_CD14highCD16low","SH3BP2"
"RHOG",0,-0.910165410543067,0.577,0.846,0,"Monocyte_CD14highCD16low","RHOG"
"MINOS1",0,-0.663859871984397,0.351,0.619,0,"Monocyte_CD14highCD16low","MINOS1"
"C5AR1",0,-0.507181432156414,0.398,0.666,0,"Monocyte_CD14highCD16low","C5AR1"
"PPP1CA",0,-0.776347408585331,0.571,0.838,0,"Monocyte_CD14highCD16low","PPP1CA"
"C12orf57",0,-0.66953402772062,0.222,0.489,0,"Monocyte_CD14highCD16low","C12orf57"
"ATP5F1B",0,-0.695409955045994,0.54,0.807,0,"Monocyte_CD14highCD16low","ATP5F1B"
"MIEN1",0,-0.761134218021017,0.265,0.532,0,"Monocyte_CD14highCD16low","MIEN1"
"CIB1",0,-0.557629725577437,0.439,0.706,0,"Monocyte_CD14highCD16low","CIB1"
"IDH2",0,-1.07473780115257,0.199,0.465,0,"Monocyte_CD14highCD16low","IDH2"
"CX3CR1",0,-1.21011056846884,0.282,0.547,0,"Monocyte_CD14highCD16low","CX3CR1"
"SNU13",0,-0.542373680296951,0.419,0.684,0,"Monocyte_CD14highCD16low","SNU13"
"GBP2",0,-0.575706683007598,0.364,0.629,0,"Monocyte_CD14highCD16low","GBP2"
"RARRES3",0,-1.15312239835161,0.178,0.443,0,"Monocyte_CD14highCD16low","RARRES3"
"SELPLG",0,-0.648514910182522,0.38,0.645,0,"Monocyte_CD14highCD16low","SELPLG"
"FAM96B",0,-0.946809640634957,0.203,0.468,0,"Monocyte_CD14highCD16low","FAM96B"
"S1PR4",0,-1.02965812653026,0.227,0.492,0,"Monocyte_CD14highCD16low","S1PR4"
"ADGRE2",0,-0.67492979637098,0.346,0.611,0,"Monocyte_CD14highCD16low","ADGRE2"
"PDCD5",0,-0.925493496656477,0.224,0.489,0,"Monocyte_CD14highCD16low","PDCD5"
"CYP1B1",0,2.86519693614047,0.398,0.134,0,"Monocyte_CD14highCD16low","CYP1B1"
"NDUFAF3",0,-0.882215021424295,0.229,0.493,0,"Monocyte_CD14highCD16low","NDUFAF3"
"PSMB10",0,-0.584182430872948,0.452,0.716,0,"Monocyte_CD14highCD16low","PSMB10"
"BLVRA",0,-0.579204313291255,0.369,0.632,0,"Monocyte_CD14highCD16low","BLVRA"
"NINJ1",0,-0.772494089090062,0.347,0.61,0,"Monocyte_CD14highCD16low","NINJ1"
"PHF19",0,-2.03806716250945,0.075,0.338,0,"Monocyte_CD14highCD16low","PHF19"
"ARL6IP4",0,-0.68829606082467,0.596,0.859,0,"Monocyte_CD14highCD16low","ARL6IP4"
"NFKBIZ",0,-0.510288157130005,0.51,0.772,0,"Monocyte_CD14highCD16low","NFKBIZ"
"NRG1",0,4.09723909620138,0.314,0.052,0,"Monocyte_CD14highCD16low","NRG1"
"LYPD2",0,-7.41520397061758,0.005,0.267,0,"Monocyte_CD14highCD16low","LYPD2"
"BIN2",0,-0.585255013170872,0.504,0.766,0,"Monocyte_CD14highCD16low","BIN2"
"DSTN",0,-0.74123149275493,0.258,0.52,0,"Monocyte_CD14highCD16low","DSTN"
"CCT5",0,-0.700710864530461,0.342,0.604,0,"Monocyte_CD14highCD16low","CCT5"
"LILRA5",0,-0.6742574511555,0.444,0.706,0,"Monocyte_CD14highCD16low","LILRA5"
"CNIH4",0,-0.808422720254668,0.284,0.545,0,"Monocyte_CD14highCD16low","CNIH4"
"GUK1",0,-0.563846126649243,0.539,0.8,0,"Monocyte_CD14highCD16low","GUK1"
"MPP7",0,2.92364313699435,0.381,0.12,0,"Monocyte_CD14highCD16low","MPP7"
"VPS29",0,-0.534899777221659,0.481,0.742,0,"Monocyte_CD14highCD16low","VPS29"
"M6PR",0,-0.555575217328748,0.447,0.708,0,"Monocyte_CD14highCD16low","M6PR"
"GBP1",0,-0.996609266296166,0.2,0.46,0,"Monocyte_CD14highCD16low","GBP1"
"SNRPG",0,-0.496908037879244,0.481,0.741,0,"Monocyte_CD14highCD16low","SNRPG"
"TPPP3",0,-1.63887327287571,0.119,0.379,0,"Monocyte_CD14highCD16low","TPPP3"
"APOBEC3A",0,-1.42598079000892,0.245,0.505,0,"Monocyte_CD14highCD16low","APOBEC3A"
"FMNL2",0,-3.32513280556576,0.059,0.318,0,"Monocyte_CD14highCD16low","FMNL2"
"ARHGAP24",0,2.53495651178828,0.427,0.168,0,"Monocyte_CD14highCD16low","ARHGAP24"
"CYFIP2",0,-1.10458757205917,0.122,0.381,0,"Monocyte_CD14highCD16low","CYFIP2"
"LGALS2",0,1.38290554246249,0.559,0.301,0,"Monocyte_CD14highCD16low","LGALS2"
"TADA3",0,-1.06158970960116,0.181,0.439,0,"Monocyte_CD14highCD16low","TADA3"
"COX6A1",0,-0.657411074316226,0.58,0.838,0,"Monocyte_CD14highCD16low","COX6A1"
"RPS27L",0,-0.621992819954799,0.516,0.774,0,"Monocyte_CD14highCD16low","RPS27L"
"HSBP1",0,-0.606129361749197,0.571,0.829,0,"Monocyte_CD14highCD16low","HSBP1"
"CALM3",0,-0.503751432106109,0.506,0.763,0,"Monocyte_CD14highCD16low","CALM3"
"RASSF5",0,-0.536811689986856,0.329,0.586,0,"Monocyte_CD14highCD16low","RASSF5"
"LIMD2",0,-0.793412138409773,0.597,0.853,0,"Monocyte_CD14highCD16low","LIMD2"
"MYDGF",0,-0.682334810296489,0.282,0.537,0,"Monocyte_CD14highCD16low","MYDGF"
"RNASET2",0,-1.02705846524829,0.665,0.92,0,"Monocyte_CD14highCD16low","RNASET2"
"BCAP31",0,-0.541739979198559,0.379,0.634,0,"Monocyte_CD14highCD16low","BCAP31"
"UBXN1",0,-0.604276393919383,0.519,0.774,0,"Monocyte_CD14highCD16low","UBXN1"
"TSPAN14",0,-0.750248255299934,0.354,0.609,0,"Monocyte_CD14highCD16low","TSPAN14"
"C19orf70",0,-0.899509840520462,0.199,0.454,0,"Monocyte_CD14highCD16low","C19orf70"
"VASP",0,-0.861807204526717,0.642,0.897,0,"Monocyte_CD14highCD16low","VASP"
"CAPG",0,1.59495775505318,0.554,0.3,0,"Monocyte_CD14highCD16low","CAPG"
"CYC1",0,-0.800417169159594,0.265,0.519,0,"Monocyte_CD14highCD16low","CYC1"
"HCK",0,-0.671969500788565,0.627,0.881,0,"Monocyte_CD14highCD16low","HCK"
"RAC2",0,-0.730027934890149,0.571,0.825,0,"Monocyte_CD14highCD16low","RAC2"
"SNRPC",0,-0.646959604328032,0.295,0.548,0,"Monocyte_CD14highCD16low","SNRPC"
"C3AR1",0,-1.43626971137574,0.13,0.383,0,"Monocyte_CD14highCD16low","C3AR1"
"MCRIP1",0,-0.667996893274418,0.246,0.499,0,"Monocyte_CD14highCD16low","MCRIP1"
"BTK",0,-0.733136130308399,0.286,0.538,0,"Monocyte_CD14highCD16low","BTK"
"ALOX5AP",0,3.49852173472043,0.32,0.068,0,"Monocyte_CD14highCD16low","ALOX5AP"
"VPS35",0,-0.572172695782796,0.402,0.654,0,"Monocyte_CD14highCD16low","VPS35"
"CD52",0,-1.37788464786065,0.676,0.927,0,"Monocyte_CD14highCD16low","CD52"
"C19orf38",0,-0.579161125580594,0.463,0.714,0,"Monocyte_CD14highCD16low","C19orf38"
"ATP5MF",0,-0.560734239922867,0.557,0.807,0,"Monocyte_CD14highCD16low","ATP5MF"
"RELT",0,-0.843968762334689,0.227,0.477,0,"Monocyte_CD14highCD16low","RELT"
"CD300LF",0,-0.557735600127359,0.336,0.586,0,"Monocyte_CD14highCD16low","CD300LF"
"C11orf21",0,-1.10929847963034,0.155,0.404,0,"Monocyte_CD14highCD16low","C11orf21"
"P2RX1",0,-1.2916880494196,0.153,0.402,0,"Monocyte_CD14highCD16low","P2RX1"
"HSP90AB1",0,-0.629018619113813,0.58,0.829,0,"Monocyte_CD14highCD16low","HSP90AB1"
"NDUFB2",0,-0.534885398875366,0.584,0.833,0,"Monocyte_CD14highCD16low","NDUFB2"
"ADRM1",0,-0.763166948164513,0.245,0.494,0,"Monocyte_CD14highCD16low","ADRM1"
"SLC25A5",0,-0.728186709720539,0.609,0.857,0,"Monocyte_CD14highCD16low","SLC25A5"
"PFKL",0,-0.974878827728121,0.204,0.451,0,"Monocyte_CD14highCD16low","PFKL"
"H2AFZ",0,-0.530568395819097,0.587,0.834,0,"Monocyte_CD14highCD16low","H2AFZ"
"SNX18",0,-0.794243985054564,0.277,0.524,0,"Monocyte_CD14highCD16low","SNX18"
"VNN2",0,2.54540467740323,0.421,0.174,0,"Monocyte_CD14highCD16low","VNN2"
"NDUFA4",0,-0.762905859067244,0.635,0.882,0,"Monocyte_CD14highCD16low","NDUFA4"
"TFEC",0,1.97988226183462,0.424,0.177,0,"Monocyte_CD14highCD16low","TFEC"
"SAP18",0,-0.472499780711147,0.556,0.803,0,"Monocyte_CD14highCD16low","SAP18"
"ARHGEF1",0,-0.658792306478008,0.302,0.548,0,"Monocyte_CD14highCD16low","ARHGEF1"
"GLT1D1",0,2.60347911351897,0.39,0.144,0,"Monocyte_CD14highCD16low","GLT1D1"
"ATP1A1",0,-0.603059089284166,0.345,0.591,0,"Monocyte_CD14highCD16low","ATP1A1"
"LINC00937",0,3.30908569426989,0.299,0.053,0,"Monocyte_CD14highCD16low","LINC00937"
"C15orf39",0,-0.826446760880298,0.221,0.466,0,"Monocyte_CD14highCD16low","C15orf39"
"HIGD2A",0,-0.731197070284359,0.625,0.87,0,"Monocyte_CD14highCD16low","HIGD2A"
"MICAL2",0,2.74334063950866,0.351,0.106,0,"Monocyte_CD14highCD16low","MICAL2"
"APOBEC3C",0,-1.01370611711958,0.184,0.429,0,"Monocyte_CD14highCD16low","APOBEC3C"
